SMILES,ECFP4,I,II,III,IV,MolWt,HeavyAtomCount,NumRotatableBonds,TPSA,LabuteASA,MolLogP,MolMR,FractionCSP3,NumHDonors,NumHAcceptors,RingCount,QED,BalabanJ,BertzCT,Ipc,FormalCharge,RadicalElectrons,logS
C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)[C@@H]4C[C@@H](C=C4)CO  ,0000000011000000000000100000000000000000000000000000000000010000000000010000000010000000000000000000000000000000000000010000000010000000000000010001000000000000000000000000000000000000000000000010000000000000000000001000001000000000000000000000000000000000000001000000100000000000001000000100000000000100000000000000000000000000000000000000000000000000000010000000000000000000001000000000000000000000000000000100000000000000000010000100000000000000000000000000000000000000100000000000000000001010000000000000000000010000000000000000100000001000000000000000000000000100000000000100000001000000000000000000000000100000000000000000000000000000000000000000000000000000000000001000000000000000000000000000100000001000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000001000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000010000010010000000000010000000000000000000000000000000000000000000000000000000000000000000000010000,0,0,1,0,286.33900000000006,21,4,101.88,121.45834382482487,1.0922999999999998,79.74990000000001,0.5,3,7,4,0.7272302824304794,1.7339568373952159,704.7972989715104,128289.44304880172,0,0,-1.4062599299201162
CC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC=C4C5=CN=CC=C5)C)C,0000000100010000100100000000000001001000000000000000000000000000100000000000000000000000000000000000001000000000000000010000000000000000101000000000000000000000010100000000000000000010001000000000000000000000000000000000000000000001000000000000010000100000010010000000000000000000000000000000000000000110000000000000000000000000000000000000000000000010000010000000000000000000011000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000001000000100000001010000000100000000000000000000000000000000100000000000000001000000000000000000100000000000000000000000100000000000000000000000000010000000000000000000000000000000000000000000111000000000000000000000000000001000000000100000000000000000000100000000010000000000000000000000000000000000000001000000000000000000000000000000000010000001000010000010000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001000000000000000000000000000001010000,0,0,0,1,391.5550000000001,29,2,39.19,174.1873721538375,5.9694000000000065,114.85400000000006,0.6153846153846154,0,3,5,0.46045755359402174,1.4089371329614317,871.9543379319293,5686486.191199465,0,0,-5.78250395786192
CCCS(=O)(=O)N[C@H]1C[C@H](C1)N(C)C1=C2C=CNC2=NC=N1,0010000000000000000000000000000001000000000000000001000000000000000010001000000010000001001000000000000000000000000000000000000010000000000100000001000000000000000000000100000000000000000000000001000000000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000001000000000000000001000000000000000000001000000000000000010000010000000000001000000001000000000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000010110000001000000000001000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000000000000000000000000000001010000010000000000010010000000000001000000000000000000000000001000000000000000000000000000000010000000000000000000000000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000,0,1,0,0,323.42199999999997,22,6,90.98,129.7457015420096,1.2544999999999997,86.31520000000005,0.5714285714285714,2,5,3,0.8348104206667458,1.6430070806046742,751.433898748421,96322.5468431848,0,0,-1.9116515090293655
C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl  ,0000000000000001000000000000000000000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000010000000000000000001000010000000000000000000000100000000000000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000100000000000000001000000000000010000010001000000000000001010000010000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000001000001000000000001000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000001000000000001000000000010000010000000000010000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000001010000000000000000000000000000000000000000000000000000000000000000000000000000000010100010000000000000000000000000000000000000000000,0,1,0,0,354.18899999999996,23,6,75.63000000000001,142.33548360230927,3.907300000000002,88.48550000000003,0.125,2,4,2,0.7696621138235623,2.1753707068699124,713.5202167690672,125088.26390495044,0,0,-3.231947770719053
CC(=O)NC1=CC=C(C=C1)O ,0000000000000000000000000000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000100000000100000000000000000000000000000000000001000000000000001000000000000000000000000000000000001000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000,0,0,1,0,151.165,11,1,49.33,64.66690538413799,1.3505999999999998,42.41050000000002,0.125,2,2,1,0.5950261967780848,2.7362980721056545,253.29949758389105,285.51074052739676,0,0,-0.060698066618418825
CC(=O)NC1=NN=C(S1)S(=O)(=O)N,0000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000001000000000000001000000000000000000000000000000000000000000000000000000000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000010000000000000010000001000000100000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000100000000000000000000000000000000000010000000000000000000000001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000000010000000000000011000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000001000000,0,0,0,1,222.251,13,2,115.04,78.02145102207902,-0.8561000000000003,45.5859,0.25,2,6,1,0.6318586926732331,2.9386914588268507,422.35246826398924,682.1272768088121,0,0,-0.19661316561016157
CC(=O)OC1=CC=CC=C1C(=O)O  ,0000000000010000000000010000000001000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000010010000000000000000000000000000000001000000000000000000001000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000010000000001000000000000000000001000000000000000000000000100000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000001000000000000000000000000000000000000100000000000000000000100000000000000000000000000000000000000000000000001000000,1,0,0,0,180.15899999999996,13,2,63.60000000000001,74.75705264447721,1.3101,44.71030000000002,0.1111111111111111,1,3,1,0.5501217966938848,3.0435273546341013,343.2228677267164,729.6807528797516,0,0,-0.06043694520485179
C1=NC2=C(N1COCCO)N=C(NC2=O)N  ,0000000000000100000000000000000000000000000001000000000000000000000000010000000010000000001000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000100000000001000001000010000000000000000000001000000000000000000000000000000000000000000000000010010100000000000000000000000000000000000000010000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000010000000000000000000001000000000000000000000011100110000000000000000000100000000000000000000000000001000000000000000000000001000000000000000000000000000000001000000000000000000000001000000000000000001001000000000000000000000000000000000000000000010000000000000000000000000000000000010010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000,0,0,1,0,225.208,16,4,119.05,89.69516162363053,-1.3317999999999997,55.5989,0.375,3,7,2,0.554385971786765,2.3607877514506095,546.0876253223264,5884.2277512654,0,0,-1.3409732867550266
CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4  ,0000000000000000000000000010000101100000000000000000000000000000000000000100000010000000000000000000000000000000000000010000000010000100001100000000000000000100100000000000000000000000000000010000000010100000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000010011000000000100000000000010000000001000000000001000000000000000000000000000000000000000010010000010000000000001000000000000000000000011000000000000000000000001010000000000000000000000000000000110000000000000000000000000000000010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100010010000000000000100000000000000000000110001000000001000000010000000001000000000000000000000000000000000000000000000000000001000001000001010000000000001000000001000000000000000000000001001000001000000000000000000000000010000010000001000011000010000100000010000000000000010000000000000000000100010000000000100000000001000000000000000000000000000000000100000000100010000,1,0,1,0,485.94700000000023,34,8,88.61000000000001,201.2804170037267,4.389900000000003,130.4064,0.2916666666666667,2,7,4,0.45729335341237065,1.6802607790026556,1214.67784504622,52867959.29867568,0,0,-3.766253826689624
CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,0000000000000100100000000000000001000000000000000000000000000000000000000100000010000000001000100000000000000000000010010000000010000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010100000000000010000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000010000000000000000000000000100001000000010000000000000000000000000000000010000000000000000000000101010000000000001000100000000000000000001000000000100000001000000000000000000000000010000000010000000010000000000000000000000000100000000000000000000000000000000000000000100000000000010000000000000000000000000000000000001000000000000,0,1,0,1,265.338,18,4,67.01,109.31462616369994,3.2433000000000005,73.13640000000002,0.3333333333333333,2,4,2,0.8327124144827058,2.1939902741755093,553.2461408183979,16664.71645005493,0,0,-2.8985542573264227
